init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.347785,-0.007664,0.460515,-0.177488,-0.426082,-0.490398,-0.477196,-0.593964,-2.710342,0.576907,0.050127,0.531794,0.090776,0.271957,-1.450810,0.023779,-0.281902,-3.107617,1,0.467322,0.022487,0.497703,0.008234,-0.068601,-0.929440,-0.167816,-0.467995,-2.943880,4.729315,M,right,0.467322,0.032487,0.497703,0.053023,-0.068169,-0.928010,-0.068911,-0.465402,-3.027360
0.372033,-0.000348,0.487208,-0.137638,-0.380384,-0.610488,-0.461661,-0.512934,-2.701448,0.541943,-0.003383,0.487335,-0.083510,0.194624,-1.228176,-0.386784,-0.455146,-2.753549,1,0.425851,-0.001309,0.487248,-0.102621,-0.188821,-0.780008,-0.379631,-0.521190,-2.773329,-5.446641,S,right,0.425851,0.008691,0.487248,-0.054379,-0.193152,-0.770754,-0.283375,-0.512928,-2.852464
0.378613,0.019368,0.501543,-0.015480,-0.385044,-0.637751,-0.230321,-0.447694,-2.888278,0.557538,0.031486,0.519824,0.021934,0.210333,-1.335990,-0.186141,-0.340256,-2.916718,1,0.497898,0.027446,0.513730,0.020398,0.015458,-1.073221,-0.160422,-0.407375,-2.945092,42.892199,S,right,0.497898,0.037446,0.513730,0.064193,0.016272,-1.072182,-0.050257,-0.405207,-3.041529
0.342023,0.023794,0.526594,-0.063572,-0.550227,-0.599949,-0.452142,-0.341340,-2.672776,0.491966,0.017494,0.483596,-0.008866,0.030487,-1.000789,-0.194469,-0.497844,-2.924492,1,0.404978,0.021149,0.508541,-0.003570,-0.296753,-0.734476,-0.207022,-0.437251,-2.907230,-29.233314,M,right,0.404978,0.031149,0.508541,0.063725,-0.296783,-0.731054,-0.048295,-0.433267,-3.043936
0.367057,-0.003830,0.433751,-0.109965,-0.302565,-0.495929,-0.308350,-0.683615,-2.865194,0.564762,0.027838,0.437872,0.026802,0.324789,-1.245068,-0.110427,-0.542921,-2.997221,1,0.465912,0.012005,0.435812,-0.016316,0.021984,-0.837540,-0.165159,-0.651161,-2.964875,-40.014714,S,right,0.465912,0.022005,0.435812,0.020449,0.021686,-0.836100,-0.104863,-0.648694,-3.008904
0.364253,-0.002964,0.475350,-0.146828,-0.391054,-0.563862,-0.451441,-0.548555,-2.719302,0.482649,0.026748,0.449438,0.033767,0.050701,-0.915479,-0.089019,-0.597608,-3.017445,1,0.410541,0.008652,0.465219,-0.045801,-0.212840,-0.680276,-0.237323,-0.579583,-2.900307,30.849415,S,right,0.410541,0.018652,0.465219,0.003789,-0.214457,-0.676181,-0.147259,-0.574642,-2.970562
0.327468,0.016190,0.454919,-0.018104,-0.515312,-0.392527,-0.191929,-0.560576,-2.933761,0.560911,0.029228,0.525584,0.008747,0.218147,-1.365274,-0.238900,-0.321786,-2.866815,1,0.458983,0.023535,0.494730,0.014722,-0.092868,-0.893390,-0.150157,-0.478770,-2.959730,-37.083263,L,right,0.458983,0.033535,0.494730,0.060451,-0.092111,-0.892606,-0.051308,-0.476470,-3.042535
0.363311,0.019251,0.532039,-0.094613,-0.467848,-0.683337,-0.535023,-0.353882,-2.598121,0.543269,0.030832,0.504107,0.028381,0.175473,-1.242510,-0.143637,-0.397152,-2.959102,1,0.432943,0.023732,0.521231,0.004800,-0.211789,-0.852301,-0.201885,-0.403603,-2.908269,-39.351305,M,right,0.432943,0.033732,0.521231,0.066776,-0.211582,-0.849160,-0.044249,-0.400275,-3.046680
0.352053,-0.017942,0.437946,-0.204383,-0.356939,-0.471029,-0.465070,-0.682185,-2.746980,0.525573,0.011632,0.471702,-0.026994,0.154929,-1.120347,-0.229479,-0.505759,-2.896301,1,0.435706,-0.003685,0.454219,-0.088456,-0.104588,-0.758251,-0.299213,-0.617471,-2.858423,-17.840763,M,right,0.435706,0.006315,0.454219,-0.046552,-0.107726,-0.752243,-0.227372,-0.611971,-2.912908
0.341156,0.028019,0.459018,0.078140,-0.464988,-0.439331,-0.011254,-0.556389,-3.076620,0.563010,0.005068,0.507528,-0.069063,0.244934,-1.359219,-0.425781,-0.375945,-2.703418,1,0.495673,0.012034,0.492804,-0.033627,0.032293,-1.033518,-0.259513,-0.472349,-2.866455,39.557254,M,right,0.495673,0.022034,0.492804,0.005552,0.030921,-1.028867,-0.173629,-0.468471,-2.938997
0.337122,0.017937,0.460070,-0.003992,-0.484657,-0.430160,-0.167638,-0.551717,-2.952170,0.561071,0.018445,0.481421,-0.010283,0.258218,-1.287945,-0.221786,-0.439942,-2.894744,1,0.441492,0.018174,0.470020,-0.000426,-0.116388,-0.791665,-0.159193,-0.557932,-2.959532,13.396224,S,right,0.441492,0.028174,0.470020,0.043896,-0.116142,-0.790472,-0.075884,-0.555268,-3.025455
