init_x,init_y,init_z,init_j1,init_j2,init_j3,init_j4,init_j5,init_j6,tgt_x,tgt_y,tgt_z,tgt_j1,tgt_j2,tgt_j3,tgt_j4,tgt_j5,tgt_j6,contact_flag,contact_x,contact_y,contact_z,contact_j1,contact_j2,contact_j3,contact_j4,contact_j5,contact_j6,contact_orient_x_deg,contact_type,sensor_contact_side,sensor_contact_x,sensor_contact_y,sensor_contact_z,sensor_contact_j1,sensor_contact_j2,sensor_contact_j3,sensor_contact_j4,sensor_contact_j5,sensor_contact_j6
0.346627,-0.016984,0.433543,-0.201708,-0.368862,-0.445593,-0.453819,-0.693429,-2.759181,0.550612,-0.013422,0.480708,-0.111228,0.234517,-1.265389,-0.442656,-0.467184,-2.707061,1,0.433842,-0.015461,0.453709,-0.137155,-0.104156,-0.760856,-0.380492,-0.627761,-2.797356,22.463662,L,right,0.433842,-0.005461,0.453709,-0.096210,-0.109145,-0.752207,-0.311511,-0.620658,-2.849525
0.379003,0.025256,0.511408,0.023980,-0.396350,-0.655484,-0.149471,-0.412753,-2.955103,0.514870,0.002208,0.451878,-0.052176,0.150029,-1.052688,-0.252313,-0.571531,-2.887178,1,0.456966,0.012031,0.477248,-0.028997,-0.074897,-0.861104,-0.221928,-0.534793,-2.906347,-0.802636,L,right,0.456966,0.022031,0.477248,0.013423,-0.075885,-0.857736,-0.139079,-0.531012,-2.973234
0.375602,0.009534,0.490802,-0.075620,-0.378574,-0.615603,-0.342860,-0.489549,-2.798173,0.576968,0.038876,0.497166,0.050490,0.296159,-1.383970,-0.091543,-0.374233,-3.004003,1,0.512965,0.029550,0.495143,0.031678,0.084810,-1.100012,-0.120518,-0.448165,-2.982615,-16.575166,S,right,0.512965,0.039550,0.495143,0.069946,0.086137,-1.100534,-0.032630,-0.446481,-3.057651
0.328417,-0.008678,0.446409,-0.194967,-0.475853,-0.407439,-0.483512,-0.629719,-2.715919,0.551993,0.049812,0.514981,0.096896,0.198285,-1.302848,0.036405,-0.356326,-3.118218,1,0.412261,0.013256,0.472125,-0.025990,-0.219233,-0.695033,-0.208591,-0.555516,-2.919824,-1.870806,L,left,0.412261,0.003256,0.472125,-0.075689,-0.216246,-0.701439,-0.301252,-0.562145,-2.846293
0.308808,0.009870,0.475790,-0.146858,-0.625925,-0.401654,-0.510763,-0.484118,-2.651148,0.529347,0.032736,0.465383,0.044608,0.174840,-1.123245,-0.079996,-0.513560,-3.020181,1,0.413507,0.020726,0.470849,0.012318,-0.213601,-0.694615,-0.135438,-0.556298,-2.978271,-26.214580,L,right,0.413507,0.030726,0.470849,0.063086,-0.212713,-0.694232,-0.039740,-0.554065,-3.054045
0.335914,0.022542,0.495601,0.005542,-0.547414,-0.495075,-0.190500,-0.424663,-2.920304,0.491526,0.045864,0.436361,0.099161,0.104398,-0.939407,0.025521,-0.625815,-3.104533,1,0.411394,0.033854,0.466867,0.079914,-0.212636,-0.681607,-0.007791,-0.566452,-3.079406,28.329781,L,right,0.411394,0.043854,0.466867,0.130046,-0.208787,-0.685898,0.084982,-0.567518,3.131053
0.364738,0.028814,0.444586,0.072427,-0.340717,-0.492508,-0.019795,-0.627542,-3.070786,0.508564,-0.011177,0.452073,-0.096662,0.134149,-1.036026,-0.330928,-0.582314,-2.826330,1,0.442099,0.007304,0.448613,-0.039498,-0.076948,-0.766978,-0.210568,-0.626479,-2.927833,-5.737813,L,left,0.442099,-0.002696,0.448613,-0.079948,-0.074219,-0.772270,-0.278627,-0.631316,-2.876904
0.309061,0.012813,0.450299,-0.059360,-0.586515,-0.332683,-0.272152,-0.557027,-2.868918,0.544873,0.042248,0.475105,0.071905,0.213769,-1.204403,-0.026799,-0.470185,-3.062975,1,0.428618,0.027736,0.462876,0.045652,-0.147800,-0.734496,-0.069863,-0.579423,-3.031290,16.286994,L,left,0.428618,0.017736,0.462876,-0.000033,-0.148119,-0.735497,-0.152555,-0.582026,-2.967124
0.358210,0.010496,0.501767,-0.102904,-0.457648,-0.592373,-0.441915,-0.446807,-2.703188,0.490017,0.022737,0.468274,0.015112,0.044777,-0.968828,-0.133618,-0.540310,-2.978407,1,0.420319,0.016264,0.485985,-0.016461,-0.212502,-0.744793,-0.205190,-0.511830,-2.917200,-43.567533,M,right,0.420319,0.026264,0.485985,0.035755,-0.213005,-0.741779,-0.098966,-0.507851,-3.004334
0.351541,0.018184,0.497089,-0.034305,-0.483778,-0.548722,-0.277871,-0.442349,-2.846395,0.553046,0.037303,0.482157,0.053007,0.231204,-1.249627,-0.072156,-0.443214,-3.023757,1,0.452342,0.027748,0.489619,0.036320,-0.108413,-0.860013,-0.100279,-0.494230,-3.002468,3.651467,L,left,0.452342,0.017748,0.489619,-0.009354,-0.108158,-0.862520,-0.195606,-0.497554,-2.923513
